source_label,source_mode,title,url,drop_reason
Free Malaysia Today,direct_seed,"E-hailing driver who drove against traffic jailed 3 days, fined RM6,000",https://www.freemalaysiatoday.com/category/nation/2026/04/06/e-hailing-driver-who-drove-against-traffic-jailed-3-days-fined-rm6000,not_articleish
Free Malaysia Today,direct_seed,"Retiree, ex-temple chairman claim trial over bogus RM50,000 claim",https://www.freemalaysiatoday.com/category/nation/2026/04/06/retiree-ex-temple-chairman-claim-trial-over-bogus-rm50000-claim,not_articleish
Free Malaysia Today,direct_seed,"Asyraf, Mas Ermieyati settle lawsuit on claims linked to Mara",https://www.freemalaysiatoday.com/category/nation/2026/04/06/asyraf-mas-ermieyati-settle-lawsuit-on-claims-linked-to-mara,not_articleish
Free Malaysia Today,direct_seed,"AirAsia X to trim capacity, increase fares amid rising fuel prices",https://www.freemalaysiatoday.com/category/nation/2026/04/06/airasia-x-to-trim-capacity-increase-fares-amid-rising-fuel-prices,not_articleish
Free Malaysia Today,direct_seed,"Restore proper price signals amid oil, wage debates, says think tank",https://www.freemalaysiatoday.com/category/nation/2026/04/06/restore-proper-price-signals-amid-oil-wage-debates-says-think-tank,not_articleish
Free Malaysia Today,direct_seed,Army corporal claims trial to assaulting 7,https://www.freemalaysiatoday.com/category/nation/2026/04/06/army-corporal-claims-trial-to-assaulting-7,not_articleish
Free Malaysia Today,direct_seed,Daim’s daughter gives statement to MACC,https://www.freemalaysiatoday.com/category/nation/2026/04/06/daims-daughter-gives-statement-to-macc,not_articleish
Free Malaysia Today,direct_seed,26 prisoners seek review of sentences by pardons boards,https://www.freemalaysiatoday.com/category/nation/2026/04/06/26-prisoners-seek-review-of-sentences-by-pardons-boards,not_articleish
Bernama,direct_seed,"General : Malaysia Strengthens Global Halal Leadership, Certification Recognised In Over 50 Countries - Ahmad Zahid",http://www.bernama.com/en/news.php?id=2541930,not_articleish
Bernama,direct_seed,General : PM Anwar Calls For A Renewed Global Commitment To Diplomacy,http://www.bernama.com/en/news.php?id=2541920,not_articleish
Bernama,direct_seed,General : Bowling Centre Employee Found Dead Had Complained Of Headache - Manager,http://www.bernama.com/en/news.php?id=2541911,not_articleish
Bernama,direct_seed,"Business : Binastra, Eco-Shop, Kelington Among Top Companies For ESG Investment In 2026 -- RHB IB",http://www.bernama.com/en/news.php?id=2541910,not_articleish
Bernama,direct_seed,World : Strait Of Hormuz Traffic Rises To Highest Level Over Weekend Since Early Days Of Iran War,http://www.bernama.com/en/news.php?id=2541893,not_articleish
Bernama,direct_seed,"Business : Ekuinas Invests RM1 Bln In Ain Medicare, Advancing Bumiputera Enterprises",http://www.bernama.com/en/news.php?id=2541891,not_articleish
Bernama,direct_seed,General : Peninsula Waters Clear Of KHV Despite Sabah Cases - DOF,http://www.bernama.com/en/news.php?id=2541889,not_articleish
Bernama,direct_seed,General : Drafting Of SKRN Bill To Focus On Prevention And Reconciliation â KPN,http://www.bernama.com/en/news.php?id=2541887,not_articleish
Bernama,direct_seed,Business : PM Anwar: Strategic Shift In Energy Strategy Imperative Amid Global Disruptions,http://www.bernama.com/en/news.php?id=2541884,not_articleish
Bernama,direct_seed,"Business : Malaysia's Banking Industry Remain Resilient, Supportive Amid Global Uncertainties - ABM",http://www.bernama.com/en/news.php?id=2541879,not_articleish
The Sun,direct_seed,Israeli military tells people in Iran to avoid using trains,https://thesun.my/news/world-news/israeli-military-tells-people-in-iran-to-avoid-using-trains/,not_malaysia_relevant
The Sun,direct_seed,Taiwan opposition leader makes rare visit to China,https://thesun.my/news/world-news/asia/taiwan-opposition-leader-makes-rare-visit-to-china/,not_malaysia_relevant
The Sun,direct_seed,Australian soldier arrested for alleged war crimes in Afghanistan,https://thesun.my/news/world-news/australian-soldier-arrested-for-alleged-war-crimes-in-afghanistan/,not_malaysia_relevant
The Sun,direct_seed,Cambodian deported by US faced ‘misery’ in Eswatini prison,https://thesun.my/news/world-news/asia/cambodian-deported-by-us-faced-misery-in-eswatini-prison/,not_malaysia_relevant
The Sun,direct_seed,Vietnam’s To Lam consolidates power with presidential perch,https://thesun.my/news/world-news/asia/vietnams-to-lam-consolidates-power-with-presidential-perch/,not_malaysia_relevant
Google News Malaysia,google_discovery,Anwar Sends Selangor MB As Special Envoy To Lead Malaysia’s Gaza Aid Mission - TRP | The Rakyat Post,https://news.google.com/rss/articles/CBMiywFBVV95cUxPbkozSnp4TERqdTBjaVR6UGtyOXRYLUtNOGttYU5OQ1VSTjZ2UDFxWGpuTUwyNWxIbk1BNHJ1X1VwZnBhZW1ySktqb1VLdFpHVzNWNWRwQ2w4UF80R29UazdZNXNHQU9OOGFZM0RQMFl5b0JkaGhkMnpvNFlQQXVsdGVXY0NfXy1ZTmtsZnhMQk5IUkk0WThrWExEQ1dpLVZuM3Iyb2pYUm1QZUFoT0pmV2RqUDdIY0RvZHNrYjZLdnV5d20tMGE4TGFMdw?oc=5,not_articleish;google_unresolved_news_google
Google News Malaysia,google_discovery,"Anwar: Malaysia’s fuel supply secure until June, thanks Iranian president for safe transit of ships via Hormuz - Malay Mail",https://news.google.com/rss/articles/CBMi-AFBVV95cUxPWVFIeFViajNPd1kwU2N5YmROdE5fanBDVmlXS05qWmZNTVFoTmZwQ21va2NMdDJ2Y01keHFxY0F2UWRENmpMbGJNUE9wLXVpZ0hOYUdtaTc4OWJUd1lsVFNNLU9xbm1INjM4MjVBdXFjT21SZEdDUFRqeVJyS2ladnAyOE41VGpISGNGS05PdG9wMjdyZ3NyakdnbUxGdDBxcTYtd2JtY1paT0ZQczNLQ0lfN0ZJVGxkQ2x1TkdraUV1emliLVNweTYyenpfQWFuSDIxQ2ZCQjNWX294c285ejVyNjEzMk45Zkk5Y3Y3S3VRZzhFLTN0VtIB_gFBVV95cUxNa0JtVzhOa0Y5S2Vfd2d5STAtZEg4aENFckUwMUNWNzZucWh6V1BYeVpha1pVRkE0RHZCNkJOTGZUSXlES3VjaHlzMHJleFdQRFhrTGV0VHJJSEtaUkZxTkZFQ19vXzB6M240MDBRR2NQYjhhR3VwdDllcVRTT3JPYnY2MWNvbHRXMkQyQkx3UDZ4TG5RTmd0UmVvcXl6UFJhaFVDbGNSM0NVNWZobkRuemZaY0QtalpFRGR4RThkLWxDM3U3QmNTSU9LczMyWGN2amRRRV9pMGVzY05OQjRQT2lkWTJBQ28ycXg0Z2dNQjdlNjdKeGlIV2RzV2hkQQ?oc=5,not_articleish;google_unresolved_news_google
Google News Malaysia,google_discovery,"Anwar: Fuel prices may rise, but Malaysia unlikely to face oil crisis - NST Online",https://news.google.com/rss/articles/CBMisAFBVV95cUxOZ2FXck55RmQ3cFJyd1pUTkFqUkdUUndQcmJSYmRqb2NsUEZ1a1Ita2FCM0tkMjNySjgyMFFuQmlrN2tvcWtkbDVSU0h4NGRGYnFoRWVBaWVNbFRQdnNxQUdoVlJDQ2ttNHI5ZFNMQlNiNmhReV9VWnhvZ0RRSjlGbGNKUTBtRkJXZjJEVlUtVFBhWjlSc3pXZmRjS2YyQUt6N0F6T1pRRzh3ZFhSUHhkbtIBtgFBVV95cUxPY2UxcV9YeHY1UlFIM1NTd01IQS1RQlNNZThxWkpOUnJrQUhucHNQaGdpb1N1ckdvZTR0T19hMExUWWZQMURxdTRkY3JBRTVfMVlYUEtfMTZhNjB1YkxSSEJBMmFvemNLakhZcklMRjN0SW1Ua0k0WUJQTXFVU2NsbVlxR1pyUDR0SkpINmpXNjA4WUJHR1ZaS2ZsVEhRTDh6MlMzYno4bTIxUGFQTW1jbEJxa3lhUQ?oc=5,not_articleish;google_unresolved_news_google
Google News Malaysia,google_discovery,"Malaysia's Banking Industry Remain Resilient, Supportive Amid Global Uncertainties - ABM - Bernama",https://news.google.com/rss/articles/CBMiXEFVX3lxTE5OcjhTWUhMRG1aN0Q2NlRWZEozSFRlRHBqeXNXbWlDVkZVbnRjSmhlRUs3aE9qVHBOcU9RNUtYTDdsXzZyZnJxYkN3VU84VEU1ZDVZa2lYSUR0Rkp4?oc=5,not_articleish;google_unresolved_news_google
Google News Malaysia,google_discovery,"Kia Carnival 8-seater launched in Malaysia - 2-3-3 layout, ADAS, 12 Bose speakers, RM238,888 nett - Paul Tan's Automotive News",https://news.google.com/rss/articles/CBMie0FVX3lxTE5rdUR5VGhSTmJ2S1E5bkVtbi1TYjBZTkViTjdFdDdqU2Nwc0JDcG9GcFdBUEVySnhmMHEtS3NOZ1BXd3F1eGdvZ1M3LVBUQmVjZlV5eTU1d055UmtHZl81TWdnTUdBVUNmR0pCcU5aUWVmR1oxay1MS1R6QQ?oc=5,not_articleish;google_unresolved_news_google
Google News Malaysia,google_discovery,"Sunway, IJM, Reneuco, Bursa Malaysia, AmBank, Bumi Armada, DXN Holdings, PT Resources, Enest Group, MNRB Holdings, K Seng Seng Corp, Hibiscus Petroleum - The Edge Malaysia",https://news.google.com/rss/articles/CBMiUEFVX3lxTFBvei1uejVkVm5LYkVTMVM2Q0hsX1NBNmhMcEpKaFZ3N002OFBqM1FJTWVjVGp0OGVsMmxQYXVvUERvVjhrUE9lWEFsU2x0RF9H?oc=5,not_articleish;google_unresolved_news_google
Google News Malaysia,google_discovery,"A Mother's Cry, And Two Empty Seats: Malaysia's Teacher College Kayaking Deaths Expose Safety Gaps - TRP | The Rakyat Post",https://news.google.com/rss/articles/CBMi5AFBVV95cUxQRnBTcWlvcVBkZDlMRTFzRU5BZTdrM3ZYVUN5YVczR0Q5aGhuMHpnaUMycEVqWXE1V0d3NkNyNWVBb2xhWVNSVm92Qk4wejdFZkI2RE5GTTR1X0VZdFpWWVI0d0FHdjJPZ0lsMmxHeFNHcWtCR3BiZ1dXZ1ExVDVlck5UUzNvV3c0SFBHVFoyc3N0ZnZvT0Z5dS1zbFIwcnFTY216dG11azk3aWJzUlVWLTB3VHY4QlV0NW1TRndqSmlqMFNZMTRrRTU3dndzRG45V2RwOUlCLXNlY1R0OU5vUjlQdGU?oc=5,not_articleish;google_unresolved_news_google
